"","CURB_RAD","CW_DIST","SB_DIST","RAMPS_2","CRType_Dire","CRType_Blen","CWType_Cont","CWType_None","RT_LNS_05","RT_LNS_2","REC_LNS_1","CHANNEL","Skewed","EXTENSION","RTOR","Street.Lt","BIKE_LN","AADP0100","logAADP","AADT1000","logAADT","RTNotSig","OnRamp","OffRamp","popden_000_qtmi","empden_000_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","stops_qtmi","worship_qtmi","schools_qtmi","park_acre_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi"
"per_other_qtmi",0.253367142217191,-0.0912683274005295,0.00806186125068779,-0.159252545374206,-0.136438363089395,0.098800183096324,0.0213142891436126,NA,-0.432027008958361,0.0358315787470042,-0.0214207883344994,0.0752420216486862,-0.0466397784613332,NA,NA,NA,-0.217094764027323,-0.151968985604337,-0.243038263107328,0.0482537419968818,-0.00117976109221323,0.061202240191846,-0.233382961752069,-0.0656383523180495,0.00825311080960612,-0.121119513427291,-0.138180646578369,-0.0993537012023541,-0.0725654130374683,-0.468724921995161,1,-0.136543605840042,0.296652461997657,-0.123725615565763,-0.034294202095274,-0.0788563486400049,-0.352610608202366,0.139184115334359,0.0903239577006056,0.27430747875543
"intden_qtmi",-0.253950451053234,0.0526989683998936,0.0949895173447686,-0.0387950454678384,0.00619410113470392,-0.140844704835236,0.0402305848202029,NA,-0.107498556858823,-0.279029161974086,-0.219568601248058,-0.163853160053746,0.152493799265488,NA,NA,NA,-0.0340644045143197,-0.0802213930693051,0.0885477460097816,-0.245258204015814,-0.209774003273812,0.027879056450847,-0.0526178862824816,-0.11356754871311,0.185586277650142,-0.102121949086421,0.445592759238038,-0.286573704574829,-0.255172158248692,0.134963397831885,-0.136543605840042,1,-0.56078360524676,0.235073659694112,0.20873279962759,-0.0833204057163053,0.130808615494851,0.0735602722494103,-0.223499556875214,-0.193409772465127
"per4wy_qtmi",-0.154863436254655,-0.0184201222727685,0.151737155933888,0.193019268352901,-0.147361106939035,0.206430677803311,-0.140633511452997,NA,-0.11691878836108,0.0855278615411719,-0.0405465427993483,-0.0970935983862445,-0.0233177213507446,NA,NA,NA,-0.199253948679342,0.257222367496216,0.0675973163948123,0.209676628729079,0.177091044385494,-0.184623894055286,-0.245233146389833,0.00862411363190465,0.0279332449381408,0.247813813830856,-0.480974846675745,0.340770669947233,0.074636609136716,-0.205519819190029,0.296652461997657,-0.56078360524676,1,-0.0694334929386164,0.0228896697818082,0.113021539622935,-0.250090089641383,-0.243183648582044,-0.000483454488188363,-0.177013979352733
"stops_qtmi",-0.355055094900122,0.0305317963055309,0.266861173445165,0.257774803061441,-0.0518955251857245,0.0841713642649603,0.248882195604567,NA,0.0742925413185109,-0.154568942533363,-0.251897398249811,-0.295832990967802,-0.433497848150838,NA,NA,NA,0.0273377021356384,0.507335382101694,0.695218690043273,-0.0692383732015438,0.18956749001975,-0.22965719176201,-0.183386880971786,-0.257683159340169,0.504450003788866,0.239131114361611,0.26553965369082,-0.0720185717823141,-0.277601998334666,-0.242932050263602,-0.123725615565763,0.235073659694112,-0.0694334929386164,1,0.292960273721159,0.222207044920749,0.349004731230686,-0.428277965351583,-0.0674884770229962,-0.567102205552196
"worship_qtmi",-0.519796319802876,0.0419443973836935,0.16015730637699,-0.176117488419087,-0.356614516030234,0.405070223363899,0.10232343558582,NA,-0.0548637716969591,-0.219264504826757,-0.326860225230307,-0.284368395950367,-0.098058067569092,NA,NA,NA,0.272383521025256,0.267187524287529,0.468336033937485,-0.182611830541071,-0.217255996921887,-0.164082530828473,-0.219264504826757,-0.115880895590536,0.527684835983745,-0.0440659743831608,0.411536688771113,-0.38620174561567,-0.168995044128106,0.0582892724809389,-0.034294202095274,0.20873279962759,0.0228896697818082,0.292960273721159,1,0.229599486990827,0.327768849767737,-0.0576370136933435,-0.302452969979197,-0.0971280418267394
"schools_qtmi",-0.0970123696882305,-0.156943927869482,0.129099292021992,0.45418259942043,0.314413478146651,-0.100929466537873,0.335083126633356,NA,-0.117905054304994,0.104713477072924,-0.187317162316339,0.0842927230423525,-0.140487871737254,NA,NA,NA,0.156097635263616,0.3009617324232,0.324013967175476,0.0245941845213549,0.0204993418120847,0.0167915123564867,-0.125656172487509,0.258257458170223,-0.0220103297979044,0.0645832741291991,-0.0385484977172331,0.0472720564762207,-0.121767148222074,0.225934834961361,-0.0788563486400049,-0.0833204057163053,0.113021539622935,0.222207044920749,0.229599486990827,1,-0.0970722504768482,0.155363864484189,-0.212968714296617,-0.128249960135911
"park_acre_qtmi",-0.197118328617099,-0.195714568854967,-0.0372469500767378,-0.0278761280503402,-0.0784439997543255,-0.131891489370384,0.0318360108544123,NA,0.350419924644265,-0.0972818915671157,0.0910229356754063,-0.0237086133731509,-0.160925776651644,NA,NA,NA,0.15097234983044,0.345862760361833,0.416909590043291,-0.045569834185892,0.059534819646189,0.0496618244762135,0.0937843569242247,-0.0655272093301695,0.26885493187746,0.00786265977497908,0.196810535136667,-0.0475349120789027,-0.156289717463256,0.0838541738972916,-0.352610608202366,0.130808615494851,-0.250090089641383,0.349004731230686,0.327768849767737,-0.0970722504768482,1,-0.00572743740936515,-0.10254618631298,-0.280891681694064
"income_000_qtmi",0.150503571006879,-0.114366246972921,-0.158643846662983,-0.249792696815959,0.0645636151201158,-0.294100889763057,0.0351532509790559,NA,-0.232922300786477,-0.0192118464219501,0.032279638937541,0.18048640880831,0.201446483807647,NA,NA,NA,0.0917786766100912,-0.347831906701938,-0.497008683232837,-0.257461515225219,-0.340872426197471,0.231126265206199,0.0118071312368798,0.146916423238752,-0.477926170361059,-0.235963170848746,0.149039147200194,0.0851230580353169,-0.270794793853007,0.0644212241033247,0.139184115334359,0.0735602722494103,-0.243183648582044,-0.428277965351583,-0.0576370136933435,0.155363864484189,-0.00572743740936515,1,0.148435248967933,0.531977379425977
"avgveh_qtmi",0.280227308489605,-0.277144976506519,-0.328798069132413,-0.372104342595178,0.157004243610542,-0.214706691474086,-0.129982273866011,NA,-0.0931908032467156,0.209462987053778,0.29606767840747,0.423375635108914,0.205608321601982,NA,NA,NA,0.04286260849983,-0.453528937721109,-0.526257716696489,0.0244568815870876,0.146331800853162,0.338086657413256,0.0404864277991199,0.185289395667676,-0.377893159038044,-0.334760409183405,0.102728484126304,-0.0122436875601913,-0.115685458672556,-0.26019694483231,0.0903239577006056,-0.223499556875214,-0.000483454488188363,-0.0674884770229962,-0.302452969979197,-0.212968714296617,-0.10254618631298,0.148435248967933,1,0.264400431047474
"hhsize_qtmi",0.306837193843495,-0.00636622554279981,-0.193161893005033,-0.425918372788235,-0.129179467585635,0.0354913215878163,-0.0247673908259579,NA,-0.0354606975422774,0.142391624338847,0.187283143927663,0.167852407078422,0.141358486284939,NA,NA,NA,0.00225099173993557,-0.636527480070783,-0.61941884554689,-0.0610368092589513,-0.224852666064641,0.0864547120095898,0.0872420544691827,0.175174674582136,-0.34732029090673,-0.54028870376839,0.120113662269655,-0.137755656807019,0.0450653124096864,-0.0764044706204093,0.27430747875543,-0.193409772465127,-0.177013979352733,-0.567102205552196,-0.0971280418267394,-0.128249960135911,-0.280891681694064,0.531977379425977,0.264400431047474,1
