"ID","Folder","Person","TS.of.data.collection","Researcher.Initial","Signal.ID","Date","Weather","Number.of.people.in.group","Age_Child","Age_Teenager","Age_Young_adult","Age_Middle_aged_adult","Age_Older_adult_over_65","Age_Adult_of_unknown_age","Age_ChildTeen","Age_Adult","Gender_Male","Gender_Female","Gender_Unknown_gender","OC_Stroller","OC_Carrying_load","OC_Wheelchair","OC_Skateboard","OC_Scooter","OC_Bicycle","OC_Distracted","OC_Others","Crosswalk.ID","Crossing.location","Crossing.direction","Ped.TS.at.CP.1","Ped.TS.at.CP.2","Ped.TS.at.CP.Diff","RT.queue.length","About.Ped","About.overall.conflict","Vehicle","Stop.location","TS.CP","Reaction.to.conflict","Ped.Reaction","Type","About.Conflict","Encroachment_Time_Pre","Encroachment_Time_Post","Encroachment_Time","Encroachment.Car.Before.Ped","Encroachment.Car.After.Ped","Encroachment.Car.Same.Ped"
443,"2021-09-16 5030","BN",2022-01-30 17:08:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:28:30,2021-09-17 10:28:30,0,"2",NA,NA,3,"Did not stop",2021-09-17 10:28:33,"No obvious reaction","No obvious reaction","Pickup Truck",NA,-3,3,3,FALSE,TRUE,FALSE
444,"2021-09-16 5030","BN",2022-01-30 17:13:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Approaching Curb",2021-09-17 10:30:45,2021-09-17 10:30:45,0,"2",NA,NA,1,"Between the first and second crosswalk",2021-09-17 10:30:50,"Driver fully stopped","No obvious reaction","Van (mini van, sprinter van, etc.)",NA,-5,5,5,FALSE,TRUE,FALSE
445,"2021-09-16 5030","BN",2022-01-30 17:20:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:46:27,2021-09-17 10:46:27,0,"5+",NA,NA,1,"Did not stop",2021-09-17 10:46:25,"No obvious reaction","Stopped and waited for the vehicle","Sedan",NA,2,-2,-2,TRUE,FALSE,FALSE
445,"2021-09-16 5030","BN",2022-01-30 17:20:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:46:27,2021-09-17 10:46:27,0,"5+",NA,NA,2,"Did not stop",2021-09-17 10:46:31,"No obvious reaction","No obvious reaction","Pickup Truck",NA,-4,4,4,FALSE,TRUE,FALSE
445,"2021-09-16 5030","BN",2022-01-30 17:20:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:46:27,2021-09-17 10:46:27,0,"5+",NA,NA,3,"Did not stop",2021-09-17 10:46:33,"No obvious reaction","No obvious reaction","Sedan",NA,-6,6,6,FALSE,TRUE,FALSE
447,"2021-09-16 5030","BN",2022-01-30 17:24:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:50:31,2021-09-17 10:50:31,0,"2",NA,NA,1,"Before the first crosswalk",2021-09-17 10:50:24,"No obvious reaction","No obvious reaction","Pickup Truck",NA,7,-7,-7,TRUE,FALSE,FALSE
447,"2021-09-16 5030","BN",2022-01-30 17:24:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:50:31,2021-09-17 10:50:31,0,"2",NA,NA,2,"Inside the first crosswalk",2021-09-17 10:50:38,"Driver fully stopped","No obvious reaction","Pickup Truck",NA,-7,7,7,FALSE,TRUE,FALSE
447,"2021-09-16 5030","BN",2022-01-30 17:24:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:50:31,2021-09-17 10:50:31,0,"2",NA,NA,3,"Did not stop",2021-09-17 10:50:41,"No obvious reaction","No obvious reaction","Sedan",NA,-10,10,10,FALSE,TRUE,FALSE
448,"2021-09-16 5030","BN",2022-01-30 17:28:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:58:30,2021-09-17 10:58:30,0,"4",NA,NA,1,"Inside the first crosswalk",2021-09-17 10:58:24,"No obvious reaction","No obvious reaction","SUV",NA,6,-6,-6,TRUE,FALSE,FALSE
448,"2021-09-16 5030","BN",2022-01-30 17:28:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:58:30,2021-09-17 10:58:30,0,"4",NA,NA,2,"Before the first crosswalk",2021-09-17 10:58:34,"Driver fully stopped","No obvious reaction","SUV",NA,-4,4,4,FALSE,TRUE,FALSE
