"DV","IV","test","cor","cil","ciu","t","df","p"
"ReactDrv_StopSlow","CDirAppr","Phi",0.0417628498347434,-0.00665493451028756,0.089985275722012,1.69171087147633,1638,0.0908913225356567
"ReactDrv_StopSlow","ReactPed_None","Phi",-0.092625433876111,-0.140400284480579,-0.0444202594983411,-3.76494165449281,1638,0.000172470480790289
"ReactDrv_StopSlow","ReactPed_StopSlow","Phi",-0.0157678531383948,-0.0641232435781807,0.0326614064810164,-0.638239251987646,1638,0.52340716691293
"ReactDrv_StopSlow","ReactPed_Stop","Phi",-0.015005645852457,-0.0633639535651696,0.0334229618994786,-0.607380076042607,1638,0.543682895308831
"ReactDrv_StopSlow","ReactPed_Slow","Phi",-0.00458240470043174,-0.0529749857884362,0.0438316488964084,-0.185462004882085,1638,0.852889640715013
"ReactDrv_StopSlow","ReactPed_Other","Phi",0.15962963886278,0.112091411587527,0.206438865445325,6.54448479296222,1638,7.96241378188449e-11
"ReactDrv_StopSlow","ReactPed_Spedup","Phi",0.121913022277943,0.0739450493881218,0.169318186997285,4.97117078617395,1638,7.35235215267389e-07
"ReactDrv_StopSlow","ReactPed_Ran","Phi",0.0960096466737436,0.0478275836019959,0.143745949975756,3.90375662071961,1638,9.85524382008986e-05
"ReactDrv_StopSlow","ReactPed_Cdir","Phi",0.0456181709758063,-0.00279232618342359,0.0938153470831168,1.84819238013533,1638,0.0647546671604217
"ReactDrv_StopSlow","RTQueue","Point-Biserial",0.0616244551621304,0.0132596759480584,0.109701558795374,2.49882730956038,1638,0.0125577842668855
"ReactDrv_StopSlow","Loc_Stop_None","Phi",-0.204955211900104,-0.250870725058224,-0.158119540207965,-8.47490162428985,1638,5.16537893049995e-17
"ReactDrv_StopSlow","Loc_Stop_Before","Phi",0.12497121376375,0.07703286559582,0.172333076845256,5.09782662855925,1638,3.83431522351992e-07
"ReactDrv_StopSlow","Loc_Stop_InBtwn","Phi",0.129984023195073,0.0820962239981542,0.177272990191698,5.30575458546507,1638,1.2752835427478e-07
"ReactDrv_StopSlow","Loc_Stop_Inside1","Phi",0.103571997339198,0.0554456334022571,0.151218221373503,4.21445340814087,1638,2.64036540602289e-05
"ReactDrv_StopSlow","Loc_Stop_Between","Phi",0.0686916280034869,0.02035497636042,0.116707908812751,2.78668449325512,1638,0.00538645372435644
"ReactDrv_StopSlow","Loc_Stop_Inside2","Phi",NA,NA,NA,NA,1638,NA
"ReactDrv_StopSlow","ReactDrv_Stop","Phi",0.56063867923565,0.526522775657196,0.592951873765476,27.4017255377536,1638,2.14371730083931e-136
"ReactDrv_StopSlow","ReactDrv_Slow","Phi",0.635948989915422,0.606205285272899,0.663916197682875,33.3513356698041,1638,1.4461457136681e-186
"ReactDrv_StopSlow","ReactDrv_Spedup","Phi",-0.194864136347945,-0.240995335081625,-0.147854407401276,-8.04072143650756,1638,1.69528052186797e-15
"ReactDrv_StopSlow","ReactDrv_Swerve","Phi",-0.0492248702331226,-0.0973971337575924,-0.000822498621930416,-1.99465749856595,1638,0.0462457159737427
"ReactDrv_StopSlow","VehType2_Small","Phi",-0.0145287007515728,-0.0628888054466286,0.0338994704965342,-0.588070736108602,1638,0.556565881713524
"ReactDrv_StopSlow","VehType1_Sedan","Phi",-0.011506703843714,-0.059877684887869,0.0369181900156791,-0.465732598824639,1638,0.641468833775401
"ReactDrv_StopSlow","VehType1_Mcycle","Phi",-0.0269548599759306,-0.0752609959242517,0.0214774937730608,-1.09131935494371,1638,0.275292881742392
"ReactDrv_StopSlow","VehType2_Medium","Phi",0.01062020614925,-0.0378035586746288,0.0589942107267549,0.429847483750782,1638,0.667363128994319
"ReactDrv_StopSlow","VehType1_SUV","Phi",-0.0154562718962539,-0.063812861647612,0.0329727280430732,-0.625624257711637,1638,0.531648579430234
"ReactDrv_StopSlow","VehType1_Truck","Phi",0.0341037025613056,-0.0143242748539094,0.0823720568708307,1.3810556642713,1638,0.167450226624268
"ReactDrv_StopSlow","VehType1_Van","Phi",0.000221678193074903,-0.0481831701973757,0.0486254878087429,0.00897180719923777,1638,0.992842722109418
